kind	legacyId	owner	disposition	replacementId
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setRequest (Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setResponse (Lcom/salesforce/revoman/internal/postman/PostmanSDK$Response;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK#public final fun setRundown (Lcom/salesforce/revoman/output/Rundown;)V	CS2a	internalized	internal-runtime/PostmanExecutionState
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public final class com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator {	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;)V	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$JSEvaluator#public synthetic fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;ILkotlin/jvm/internal/DefaultConstructorMarker;)V	CS2a	removed	internal-runtime/PmSandbox
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final class com/salesforce/revoman/internal/postman/PostmanSDK$Request {	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final field body Lcom/salesforce/revoman/internal/postman/template/Body;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final field event Ljava/util/List;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final field header Ljava/util/List;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final field method Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final field url Lcom/salesforce/revoman/internal/postman/template/Url;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;Ljava/util/List;Lcom/salesforce/revoman/internal/postman/template/Url;Lcom/salesforce/revoman/internal/postman/template/Body;Ljava/util/List;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public synthetic fun <init> (Lcom/salesforce/revoman/internal/postman/PostmanSDK;Ljava/lang/String;Ljava/util/List;Lcom/salesforce/revoman/internal/postman/template/Url;Lcom/salesforce/revoman/internal/postman/template/Body;Ljava/util/List;ILkotlin/jvm/internal/DefaultConstructorMarker;)V	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final fun copy (Ljava/util/List;Lcom/salesforce/revoman/internal/postman/template/Url;Lcom/salesforce/revoman/internal/postman/template/Body;)Lcom/salesforce/revoman/internal/postman/PostmanSDK$Request;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Request#public final fun json ()Lorg/graalvm/polyglot/Value;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final class com/salesforce/revoman/internal/postman/PostmanSDK$Response {	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final field body Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final field code I	CS2a	removed	immutable request and response snapshots
kotlin	com/salesforce/revoman/internal/postman/PostmanSDK$Response#public final field status Ljava/lang/String;	CS2a	removed	immutable request and response snapshots
